Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
7278,Myocardial Solutions,,11 - 50,19.972736,6,6.65592,venture_c,Late Stage Venture,,,crunchbase,Morrisville,United States,US-Central,['Diagnosoft'],"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,North Carolina,64f7e737ffbdcd94c55996cbeefa0266,27560,myocardial-solutions
7279,klay schools,,11 - 50,22.0,2,16.0,venture_b,Early Stage Venture,2.0,279377.0,crunchbase,Bangalore,India,India,['Klay'],,Peepul Capital LLC;Kaizenvest,,Karnataka,aa1404ba1934571d7622b4e4c3ebbc58,560048,klay-schools
7280,movingimage,,51 - 100,8.853475,1,8.853475,venture_unknown,Late Stage Venture,2.0,3094493.0,crunchbase,Berlin,Germany,GSA,"['JobTV24', 'movingIMAGE24']",,Digital+ Partners;Mountain Partners,,Berlin,997273aec90c970244cc8c7e1ba39cdf,10245,movingimage24
7281,MomSource Network,,1 - 10,0.0,1,0.0,venture_a,Early Stage Venture,1.0,10449997.0,crunchbase,Knoxville,United States,,,,The JumpFund,,Tennessee,53ab6511138c25029ad341dd5392b762,,momsource-network
7282,CyberSaint Security,,11 - 50,3.0,1,3.0,venture_unknown,Late Stage Venture,2.0,2837588.0,crunchbase,Boston,United States,,['CyberSaint'],,BlueIO;Audeo Capital,,Massachusetts,61c3b04990075ef642ec663d4d28b9d0,,cybersaint
7283,Hatch Apps,,11 - 50,2.325,5,0.0,venture_unknown,Late Stage Venture,1.0,6451923.0,crunchbase,Washington,United States,US-East,['Hatch Technologies'],Mid-Atlantic,Morgan Stanley,,District of Columbia,a7638a4fa99704718362ec4f7b0d69c1,20006,hatch-9
7284,Aurora Solar,,51 - 100,20.0,1,20.0,venture_a,Early Stage Venture,4.0,281186.0,crunchbase,San Francisco,United States,US-West,['Aurora'],Northern California,Pear Ventures;Fifth Wall;Energize Ventures;S28 Capital,,California,18f93058d171c4dcfca4b64b8b3c531c,94301,aurora-solar
7285,Embention,,11 - 50,0.0,1,0.0,venture_b,Early Stage Venture,,2399003.0,crunchbase,Alicante,Spain,Mediterranean,"['UAV', 'Drones', 'Unmanned Vehicles', 'Autopilots', 'Control Systems', 'UAV components']",,,,Comunidad Valenciana,7e7597d818d7f1b095d9c933877c621f,03114,embention-2
7286,PEG,,101 - 250,56.5,8,20.0,venture_c,Late Stage Venture,3.0,5039976.0,crunchbase,Accra,Ghana,Africa,"['PEG Ghana', 'PEGAfrica', ""PEG Cote d'Ivoire"", 'PEG Senegal']",,responsAbility;CDC Group;SunFunder,,Greater Accra,82e376f0fe99b386de6c5e9a4810b417,,peg
7287,Akriveia Therapeutics,,11 - 50,168.0,4,100.5,venture_b,Early Stage Venture,10.0,7313445.0,crunchbase,Waltham,United States,US-East,['Akrevia Therapeutics'],New England,SV Health Investors;Solasta Ventures;RiverVest;Atlas Venture;Ipsen;M Ventures;MRL Ventures Fund;Takeda Ventures;Bay City Capital;F-Prime Capital,,Massachusetts,f450d2bb165040d2ac37079ffe7aa6d0,02139,akriveia-therapeutics
7288,Axio Global,,11 - 50,4.352744,2,3.3,venture_a,Early Stage Venture,1.0,4750276.0,crunchbase,New York,United States,US-East,,New York,NFP Ventures,,New York,67f4940b998a079a6fae4d0a2ce10717,10005,axio-global
7289,GrandCanals,,11 - 50,4.8,1,4.8,venture_a,Early Stage Venture,2.0,10054760.0,crunchbase,Los Gatos,United States,US-West,,Northern California,AllMobile Fund;Cloud Apps Capital Partners,,California,f14e089e39bec1e1fef387759cacdfb3,95032,grand-canal-solutions
7290,51Shebao,,,14.0,2,10.0,venture_b,Early Stage Venture,1.0,552971.0,crunchbase,Chaoyang,China,Greater China,,,Zhubajie,,Liaoning,ec1e1768a8864c848e2f1a7f0658d791,,51shebao
7291,GetLaundry,,1 - 10,0.0,1,0.0,venture_a,Early Stage Venture,1.0,31887327.0,crunchbase,Dubai,United Arab Emirates,MENA,,,Mountain Partners,,Dubai,d9880bcabf4b241ef0f18007ae734035,,getlaundry
7292,Splend,,101 - 250,230.2,3,3.0,venture_a,Early Stage Venture,1.0,8376549.0,crunchbase,London,United Kingdom,UK&I,,,Investec,,England,b8efb560076336d9b3cb01afd13c958e,E1 1LN,splend-3
